Link,Title,Length (Hrs),START,STOP
https://www.youtube.com/watch?v=MxBdzH66wZo,President Obama Speaks at the National Prayer Breakfast,0.47,0,28
https://www.youtube.com/watch?v=LRRVdVqAjdw,The President Speaks at the Islamic Society of Baltimore,0.72,0,43
https://www.youtube.com/watch?v=tdJV82f4TWA,The President Speaks at the House Democratic Issues Conference,0.27,0,16
https://www.youtube.com/watch?v=NHe2_BhdMWc,The President Speaks at the Righteous Among Nations Award Ceremony,0.43,7,26
https://www.youtube.com/watch?v=gLxzOKUgDZc,The President Speaks on the Economy in Detroit,0.58,2,35
https://www.youtube.com/watch?v=KqCswpINDTA,The President Delivers Remarks on Iran,0.22,0,13
https://www.youtube.com/watch?v=MdmbNEQ6wBI,President Obama Delivers Remarks to the U.S. Conference of Mayors,0.13,0,8
https://www.youtube.com/watch?v=ZLA5OX3MQc4,The President Holds a Town Hall in Baton Rouge,1.27,4,76
https://www.youtube.com/watch?v=I-ILnsAqJjM,The President Delivers Remarks in Omaha,0.72,3,43
https://www.youtube.com/watch?v=rlLSBTAg0aM,President Obama Delivers his Final State of the Union Address,1,2,60
https://www.youtube.com/watch?v=pj_3M_RvKVY,The President Announces Commonsense Steps to Keep Guns Out of the Wrong Hands,0.68,5,41
https://www.youtube.com/watch?v=TMDV3VY0tPA,The President Addresses the Nation on Keeping the American People Safe,0.22,0,13
https://www.youtube.com/watch?v=OFw8uZQIcUo,President Obama Speaks at the 2015 Kennedy Center Honors Reception,0.25,0,15
https://www.youtube.com/watch?v=UKopXxCPCJg,The President Addresses Climate Change at COP21,0.23,0,14
https://www.youtube.com/watch?v=wXrWEsP1BxA,The President Speaks at the ASEAN Business and Investment Summit,0.47,0,29
https://www.youtube.com/watch?v=6PtMWkF_PjY,President Obama Honors Veterans at Arlington National Cemetery,0.25,0,15
https://www.youtube.com/watch?v=3cXFOiq6ffA,President Obama Delivers Remarks at an Organizing for Action Event,0.25,2,17
https://www.youtube.com/watch?v=l0zeigsrV3w,The President Speaks on the Rehabilitation and Reintegration of Formerly Incarcerated,0.36,0,21
https://www.youtube.com/watch?v=V_Hss877fcU,The President Speaks to Police Chiefs in Chicago,0.87,1,52
https://www.youtube.com/watch?v=FRd-4sdZ05c,The President Speaks at the Congressional Hispanic Caucus Institute Gala,0.28,1,17
https://www.youtube.com/watch?v=AIeVx-v5mz8,The President Delivers Remarks at the White House Summit on Worker Voice,0.52,4,31
https://www.youtube.com/watch?v=H1mno5Aeeyc,The President Speaks at the 34th Fallen Firefighters Memorial Service,0.22,1,13
https://www.youtube.com/watch?v=ZcIDkkEBYdQ,The President Speaks at the 2030 Agenda for Sustainable Development Goals,0.47,0,28
https://www.youtube.com/watch?v=Zsau6U2YYHE,The President Speaks to Democratic State Legislators,0.22,0,13
